FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad,X_mm_filtered,Y_mm_filtered,Z_mm_filtered,QX_filtered,QY_filtered,QZ_filtered,QW_filtered
69,1769589431547,0.766675,87.7984,527.6643,-390.0295,0.519397,0.482481,-0.417761,0.568256,1.220029,1.133316,-0.981292,-0.394539,-0.287685,0.256709,2.512895,-1.560040,-0.152868,87.828995,527.659433,-390.036143,0.519407,0.482489,-0.417760,0.568241
70,1769589431558,0.777787,87.8204,527.6675,-389.9601,0.519418,0.482488,-0.417739,0.568248,1.220081,1.133335,-0.981243,-0.394553,-0.287674,0.256714,2.512872,-1.560059,-0.152886,87.839210,527.635919,-390.007533,0.519407,0.482486,-0.417758,0.568245
71,1769589431569,0.788898,87.8928,527.6069,-390.0205,0.519433,0.482484,-0.417759,0.568223,1.220129,1.133337,-0.981300,-0.394546,-0.287672,0.256712,2.512871,-1.560073,-0.152863,87.856857,527.656362,-390.019029,0.519410,0.482486,-0.417754,0.568245
72,1769589431581,0.800009,87.8602,527.6589,-390.0827,0.519396,0.482498,-0.417753,0.568248,1.220030,1.133359,-0.981276,-0.394555,-0.287652,0.256703,2.512874,-1.560142,-0.152927,87.867933,527.666062,-390.071452,0.519405,0.482494,-0.417750,0.568245
73,1769589431592,0.811120,87.8520,527.7224,-390.1094,0.519380,0.482490,-0.417762,0.568263,1.219984,1.133334,-0.981292,-0.394543,-0.287683,0.256738,2.512855,-1.560020,-0.152903,87.838290,527.669848,-390.098695,0.519410,0.482491,-0.417744,0.568247
74,1769589431603,0.822232,87.7970,527.6537,-390.1045,0.519444,0.482499,-0.417711,0.568236,1.220148,1.133366,-0.981182,-0.394543,-0.287667,0.256717,2.512924,-1.560052,-0.152958,87.798600,527.669348,-390.068795,0.519430,0.482491,-0.417736,0.568235
75,1769589431614,0.833343,87.7595,527.6179,-389.9963,0.519466,0.482476,-0.417733,0.568217,1.220210,1.133323,-0.981243,-0.394572,-0.287631,0.256679,2.512840,-1.560261,-0.152828,87.789481,527.625486,-390.033052,0.519457,0.482491,-0.417730,0.568215
76,1769589431625,0.844454,87.8096,527.6025,-389.9733,0.519470,0.482500,-0.417743,0.568187,1.220234,1.133392,-0.981277,-0.394570,-0.287645,0.256725,2.512796,-1.560159,-0.152924,87.802333,527.598105,-390.004943,0.519455,0.482496,-0.417732,0.568212
77,1769589431636,0.855565,87.8506,527.5659,-390.0240,0.519440,0.482501,-0.417730,0.568223,1.220145,1.133378,-0.981232,-0.394573,-0.287643,0.256701,2.512815,-1.560178,-0.152883,87.838300,527.600019,-389.989743,0.519446,0.482492,-0.417743,0.568215
78,1769589431647,0.866677,87.8822,527.6372,-389.9908,0.519410,0.482491,-0.417744,0.568249,1.220062,1.133341,-0.981255,-0.394583,-0.287620,0.256717,2.512802,-1.560219,-0.152953,87.877319,527.595076,-389.976986,0.519447,0.482493,-0.417728,0.568225
79,1769589431658,0.877788,87.9062,527.5940,-389.9491,0.519487,0.482471,-0.417724,0.568210,1.220264,1.133312,-0.981223,-0.394576,-0.287631,0.256692,2.512842,-1.560233,-0.152873,87.913086,527.588024,-389.950633,0.519461,0.482475,-0.417720,0.568232
80,1769589431669,0.888899,87.9519,527.5637,-389.8976,0.519480,0.482476,-0.417690,0.568237,1.220232,1.133311,-0.981134,-0.394597,-0.287599,0.256714,2.512718,-1.560344,-0.152893,87.970233,527.598143,-389.931471,0.519468,0.482464,-0.417723,0.568233
81,1769589431681,0.900010,88.0290,527.5930,-389.9388,0.519482,0.482441,-0.417740,0.568227,1.220243,1.133235,-0.981254,-0.394588,-0.287625,0.256711,2.512776,-1.560228,-0.152871,88.028633,527.588795,-389.939495,0.519478,0.482461,-0.417722,0.568228
82,1769589431692,0.911121,88.0964,527.6433,-389.9763,0.519441,0.482468,-0.417740,0.568242,1.220139,1.133290,-0.981248,-0.394608,-0.287603,0.256736,2.512704,-1.560283,-0.153000,88.077438,527.620762,-389.942086,0.519478,0.482460,-0.417724,0.568227
83,1769589431703,0.922233,88.0671,527.6083,-389.9515,0.519511,0.482468,-0.417707,0.568203,1.220323,1.133309,-0.981186,-0.394601,-0.287598,0.256711,2.512747,-1.560318,-0.152927,88.057629,527.637233,-389.945210,0.519499,0.482460,-0.417719,0.568211
84,1769589431714,0.933344,88.0235,527.6804,-389.9029,0.519519,0.482450,-0.417704,0.568213,1.220338,1.133262,-0.981176,-0.394611,-0.287590,0.256744,2.512678,-1.560291,-0.152999,88.000229,527.645433,-389.939919,0.519506,0.482460,-0.417706,0.568214
85,1769589431725,0.944455,87.8695,527.6096,-389.9477,0.519519,0.482456,-0.417692,0.568216,1.220335,1.133275,-0.981147,-0.394626,-0.287571,0.256709,2.512697,-1.560422,-0.152955,87.921448,527.637724,-389.943448,0.519497,0.482444,-0.417704,0.568238
86,1769589431736,0.955566,87.8853,527.6494,-389.9753,0.519448,0.482429,-0.417717,0.568285,1.220133,1.133179,-0.981178,-0.394611,-0.287594,0.256717,2.512709,-1.560303,-0.152906,87.866843,527.635190,-389.958871,0.519476,0.482432,-0.417694,0.568275
87,1769589431747,0.966677,87.8332,527.6041,-389.9772,0.519447,0.482420,-0.417691,0.568313,1.220117,1.133145,-0.981105,-0.394616,-0.287577,0.256727,2.512681,-1.560366,-0.152957,87.841210,527.607429,-389.970571,0.519469,0.482430,-0.417685,0.568288
88,1769589431758,0.977789,87.8485,527.6022,-389.9621,0.519499,0.482434,-0.417649,0.568284,1.220254,1.133192,-0.981018,-0.394646,-0.287544,0.256735,2.512580,-1.560492,-0.152978,87.847219,527.595671,-389.977514,0.519469,0.482440,-0.417681,0.568284
89,1769589431769,0.988900,87.8457,527.5601,-389.9661,0.519490,0.482457,-0.417692,0.568243,1.220252,1.133264,-0.981135,-0.394638,-0.287546,0.256709,2.512654,-1.560481,-0.152916,87.831776,527.571200,-389.982538,0.519483,0.482448,-0.417679,0.568266
90,1769589431781,1.000011,87.8342,527.5653,-390.0092,0.519474,0.482460,-0.417692,0.568254,1.220210,1.133266,-0.981131,-0.394656,-0.287551,0.256739,2.512551,-1.560457,-0.153010,87.838219,527.565857,-389.982210,0.519489,0.482442,-0.417690,0.568257
91,1769589431792,1.011122,87.8204,527.5582,-389.9624,0.519496,0.482412,-0.417691,0.568275,1.220252,1.133143,-0.981119,-0.394637,-0.287550,0.256728,2.512606,-1.560464,-0.152926,87.829343,527.548714,-389.959533,0.519504,0.482428,-0.417679,0.568263
92,1769589431803,1.022234,87.8695,527.5593,-389.9127,0.519530,0.482393,-0.417675,0.568272,1.220333,1.133101,-0.981084,-0.394657,-0.287526,0.256702,2.512610,-1.560576,-0.152940,87.846671,527.561986,-389.906886,0.519534,0.482398,-0.417669,0.568269
