FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad,HE_TCP_X_m,HE_TCP_Y_m,HE_TCP_Z_m,HE_TCP_RX_rad,HE_TCP_RY_rad,HE_TCP_RZ_rad
61,1769589273070,0.677786,-0.394413,-0.287868,0.256708,0.519269,0.482774,-0.417605,0.568239,1.219735,1.134012,-0.980933,-0.394413,-0.287868,0.256708,2.513244,-1.559436,-0.152809,-0.392873,-0.292645,0.265095,2.691506,-1.411591,-0.096744
62,1769589273081,0.688897,-0.394422,-0.287867,0.256699,0.519269,0.482779,-0.417615,0.568228,1.219741,1.134029,-0.98096,-0.394422,-0.287867,0.256699,2.513225,-1.559473,-0.152777,-0.392867,-0.292662,0.265087,2.691532,-1.411559,-0.096726
63,1769589273093,0.700008,-0.394427,-0.287857,0.256699,0.519255,0.482779,-0.417631,0.568229,1.219709,1.134027,-0.980997,-0.394427,-0.287857,0.256699,2.513243,-1.559462,-0.152844,-0.392853,-0.292638,0.265104,2.69156,-1.411524,-0.096771
64,1769589273104,0.71112,-0.39442,-0.28786,0.256704,0.519269,0.482794,-0.417629,0.568204,1.219754,1.134074,-0.981004,-0.39442,-0.28786,0.256704,2.513245,-1.559466,-0.152849,-0.392843,-0.292657,0.26508,2.691608,-1.411507,-0.096679
65,1769589273115,0.722231,-0.394419,-0.28786,0.256703,0.519267,0.482785,-0.41762,0.56822,1.21974,1.134047,-0.980974,-0.394419,-0.28786,0.256703,2.513198,-1.559492,-0.152777,-0.392906,-0.292668,0.265067,2.691572,-1.411544,-0.096715
66,1769589273126,0.733342,-0.394427,-0.287851,0.256697,0.519269,0.482737,-0.417596,0.568277,1.219717,1.133906,-0.980896,-0.394427,-0.287851,0.256697,2.513214,-1.55953,-0.15276,-0.392955,-0.292629,0.265022,2.691468,-1.411715,-0.096844
67,1769589273137,0.744453,-0.394423,-0.287852,0.256667,0.519319,0.482713,-0.417629,0.568227,1.219861,1.133875,-0.980994,-0.394423,-0.287852,0.256667,2.513273,-1.559572,-0.152722,-0.393018,-0.292647,0.265005,2.691601,-1.411773,-0.096699
68,1769589273148,0.755565,-0.394429,-0.287844,0.256686,0.519276,0.482735,-0.417617,0.568256,1.219745,1.133911,-0.980954,-0.394429,-0.287844,0.256686,2.513249,-1.559545,-0.152753,-0.393018,-0.292776,0.265015,2.691539,-1.411697,-0.09681
69,1769589273159,0.766676,-0.394434,-0.287848,0.256683,0.519303,0.482711,-0.417658,0.568221,1.219826,1.133873,-0.981065,-0.394434,-0.287848,0.256683,2.513245,-1.559512,-0.152776,-0.39306,-0.292844,0.265085,2.691655,-1.411717,-0.096744
70,1769589273170,0.777787,-0.394427,-0.287851,0.256689,0.519305,0.482757,-0.417606,0.56822,1.21983,1.13398,-0.980944,-0.394427,-0.287851,0.256689,2.513271,-1.559494,-0.152775,-0.393065,-0.292867,0.265128,2.691559,-1.411676,-0.096653
71,1769589273181,0.788898,-0.394427,-0.287846,0.256676,0.519331,0.482696,-0.417605,0.568248,1.219877,1.133825,-0.98093,-0.394427,-0.287846,0.256676,2.51326,-1.559537,-0.152732,-0.393017,-0.292802,0.265105,2.691536,-1.411867,-0.096709
72,1769589273193,0.800009,-0.394436,-0.28783,0.256694,0.519261,0.482702,-0.417635,0.568285,1.219693,1.133821,-0.980984,-0.394436,-0.28783,0.256694,2.513217,-1.559575,-0.152827,-0.392931,-0.292741,0.265127,2.69155,-1.411753,-0.096941
73,1769589273204,0.811121,-0.394435,-0.287849,0.256685,0.519318,0.482712,-0.417618,0.568237,1.219852,1.133866,-0.980964,-0.394435,-0.287849,0.256685,2.513253,-1.559518,-0.152765,-0.392913,-0.292693,0.265115,2.691564,-1.411788,-0.096709
74,1769589273215,0.822232,-0.394437,-0.287844,0.256709,0.519332,0.482713,-0.417618,0.568223,1.219893,1.133875,-0.98097,-0.394437,-0.287844,0.256709,2.513197,-1.559525,-0.152826,-0.392962,-0.292661,0.265076,2.691576,-1.411795,-0.096655
75,1769589273226,0.833343,-0.39443,-0.287847,0.256686,0.519342,0.48272,-0.417622,0.568206,1.219925,1.133899,-0.980986,-0.39443,-0.287847,0.256686,2.513239,-1.559532,-0.152782,-0.392923,-0.292682,0.26508,2.691599,-1.411777,-0.096599
76,1769589273237,0.844454,-0.394431,-0.287848,0.256705,0.519316,0.482726,-0.41762,0.568226,1.219854,1.133905,-0.980973,-0.394431,-0.287848,0.256705,2.513237,-1.559471,-0.15285,-0.39299,-0.29273,0.265145,2.691582,-1.411749,-0.096681
77,1769589273248,0.855566,-0.394425,-0.287852,0.256693,0.519311,0.482752,-0.417638,0.568195,1.219856,1.13398,-0.981029,-0.394425,-0.287852,0.256693,2.513249,-1.5595,-0.152734,-0.392968,-0.292758,0.265148,2.691635,-1.411638,-0.096623
78,1769589273259,0.866677,-0.394425,-0.287845,0.256692,0.519318,0.482704,-0.417637,0.56823,1.219856,1.133851,-0.981011,-0.394425,-0.287845,0.256692,2.513239,-1.559532,-0.152782,-0.392849,-0.292707,0.265143,2.691623,-1.41179,-0.096719
79,1769589273270,0.877788,-0.394414,-0.287864,0.256672,0.519255,0.482764,-0.417692,0.568196,1.219726,1.134008,-0.981154,-0.394414,-0.287864,0.256672,2.513276,-1.559489,-0.152665,-0.392896,-0.292699,0.265036,2.691742,-1.411485,-0.096769
80,1769589273281,0.888899,-0.394428,-0.28785,0.256678,0.519332,0.482734,-0.417574,0.568238,1.219886,1.133918,-0.980859,-0.394428,-0.28785,0.256678,2.513249,-1.559538,-0.152739,-0.39286,-0.292783,0.264995,2.69147,-1.411802,-0.096628
81,1769589273293,0.900011,-0.394419,-0.287855,0.256674,0.519275,0.482747,-0.417595,0.568264,1.219736,1.133937,-0.980898,-0.394419,-0.287855,0.256674,2.513252,-1.55954,-0.152675,-0.392853,-0.292801,0.26498,2.691494,-1.411701,-0.096797
82,1769589273304,0.911122,-0.394426,-0.287851,0.256694,0.519245,0.482756,-0.417613,0.56827,1.219664,1.133955,-0.980939,-0.394426,-0.287851,0.256694,2.513209,-1.55955,-0.152766,-0.392943,-0.292838,0.265037,2.691505,-1.411619,-0.096877
